Ac2O3,actinium(III) oxide
AgBF4,Silver tetrafluoroborate
AgBr,silver bromide
AgBrO,silver hypobromite
AgBrO2,silver bromite
AgBrO3,silver bromate
AgBrO4,silver perbromate
AgCl,silver chloride
AgCl3Cu2,dicopper silver trichloride
AgClO3,silver chlorate
AgClO4,silver perchlorate
AgCN,silver cyanide
AgCNO,silver fulminate
AgF,silver fluoride
AgF2,silver(II) fluoride
AgI,silver iodide
AgIO,silver hypoiodite
AgIO2,silver iodite
AgIO3,silver iodate
AgIO4,silver periodate
AgMnO4,silver permanganate
AgN3,silver azide
AgNO3,silver nitrate
AgO,silver monoxide
AgONC,silver cyanate
AgPF6,silver hexafluorophosphate
AgSNC,silver thiocyanate
Ag2C2,silver acetylide
Ag2CO3,silver(I) carbonate
Ag2C2O4,silver oxalate
Ag2Cl2,silver(II) dichloride
Ag2CrO4,silver chromate
Ag2Cr2O7,silver dichromate
Ag2F,silver subfluoride
Ag2MoO4,silver molybdate
Ag2O,silver(I) oxide
Ag2S,silver sulfide
Ag2SO4,silver sulfate
Ag2Se,silver selenide
Ag2SeO3,silver selenite
Ag2SeO4,silver selenate
Ag2Te,silver(I) telluride
Ag3Br2,silver dibromide
Ag3Br3,silver tribromide
Ag3Cl3,silver(III) trichloride
Ag3I3,silver(III) triiodide
Ag3PO4,silver phosphate
AlBO3,aluminium borate
AlBr,aluminium monobromide
AlBr3,aluminium tribromide
AlCl,aluminium monochloride
AlClF,aluminium chloride fluoride
AlCl2<F,aluminium chloride fluoride
AlClO,aluminium chloride oxide
AlCl2H,dichloroalumane
AlCl3,aluminium chloride
AlCl2F,aluminium chloride fluoride
AlCl3,aluminium trichloride
AlCl4Cs,aluminium caesium tetrachloride
AlCl4K,potassium tetrachloroaluminate
AlCl4Na,sodium tetrachloroaluminate
AlCl4Rb,rubidium tetrachloroaluminate
AlCl6K3,potassium hexachloroaluminate
AlCl6Na3,sodium hexachloroaluminate
AlCo,Alumanylidynecobalt
AlF,aluminium monofluoride
AlFO,aluminium monofluoride monoxide
AlF2,aluminium difluoride
AlF2O,aluminium difluoride oxide
AlF3,aluminium trifluoride
AlF4K,potassium tetrafluoroaluminate
AlF4Li,lithium tetrafluoroaluminate
AlF6K3,potassium hexafluoraluminate
AlF6Li3,lithium hexafluoroaluminate
AlF6Na3,cryolite
AlGaInP,aluminium-gallium-indium phosphide
AlH3,aluminium hydride
AlH4-,alumanuide ion
Al(OH)3,aluminium hydroxide
AlI,aluminium monoiodide
AlI3,aluminium triiodide
AlLiO2,lithium aluminate
AlN,aluminium nitride
Al(NO2)3,aluminium nitrite
Al(NO3)3,aluminium nitrate
AlNaO2,sodium aluminate
AlO,aluminium monoxide
AlOSi,aluminium silicon monoxide
AlO2,aluminium(IV) oxide
AlP,aluminium monophosphide
AlPO4,aluminium phosphate
AlTe,aluminium monotelluride
AlTe2,monoaluminium ditelluride
Al2BeO4,beryllium aluminium oxide
Al2Br6,dialuminium hexabromide
Al2(CO3)3,aluminium carbonate
Al2Cl9K3,potassium aluminium chloride
Al2CoO4,cobalt blue
Al2F6,aluminium fluoride
Al2I6,aluminium iodide
Al2MgO4,magnesium aluminium oxide
Al2O,dialuminium monoxide
Al2O2,dialuminium dioxide
Al2O3,aluminium oxide
Al2O5Si,aluminium silicate
Al2SiO5,andalusite
Al2O7Si2,metakaolinite
Al2S,dialuminium monosulfide
Al2S3,aluminium sulfide
Al2(SO4)3,aluminium sulphate
Al2Se,dialuminium selenide
Al2Si2O5(OH)4,kaolin
Al2Te,dialuminium telluride
Al3F14Na5,chiolite
Al4C3,aluminium carbide
Al6BeO10,beryllium aluminium oxide
Al6O13Si2,mullite
ArClF,argon chloride fluoride
ArClH,argon chloride hydride
ArFH,argon fluoride hydride
AsBrO,arsenic oxybromide
AsBr3,arsenic tribromide
AsClO,arsenic monoxide monochloride
AsCl3,arsenic trichloride
AsCl3O,arsenic oxychloride
AsCl4F,arsenic tetrachloride fluoride
AsF3,arsenic trifluoride
AsF5,arsenic pentafluoride
AsH3,arsine
AsI3,arsenic triiodide
AsO,arsenic monoxide
AsO2,arsenic dioxide
AsP,arsenic monophosphide
AsP3,arsenic triphosphide
AsTl,thallium arsenide
As2I4,arsenic diiodide
As2O3,arsenic trioxide
As2P2,arsenic diphosphide
As2O5,arsenic pentoxide
As2S4,arsenic tetrasulfide
As2S5,arsenic pentasulfide
As2Se,arsenic hemiselenide
As2Se3,arsenic triselenide
As2Se5,arsenic pentaselenide
As3O4,arsenic tetraoxide
As3P,arsenic(III) phosphide
As4O3,tetraarsenic trioxide
As4O5,tetraarsenic pentaoxide
